No,supplier,barcode,name,quantity,cost,price,alert_quantity,batch_number
19,KAPPER KKY,1000135,WALKAROO LADIES,3,"1,300.00","2,499.00",0,21102024
24,INDIKA GALAGEDARA,1000147,INDIAN TWO STEP,14,"1,250.00","1,999.00",5,13022023
27,KAPPER KKY,1000149,BIG BOSS BATA,11,750.00,"1,199.00",0,21102024
34,SITHU GARMENT,1000183,CINDY LOAFER 9-12,1,450.00,699.00,5,14022023
35,SITHU GARMENT,1000184,CINDY LOAFER 6-9,2,450.00,699.00,5,14022023
57,NEW FASHION,1000385,NEW FASHION 5224 BR - 374,1,"1,250.00","2,299.00",5,19022023
59,NEW FASHION,1000391,NEW FASHION 224 BG- 382,1,"1,350.00","2,399.00",5,19022023
60,NEW FASHION,1000392,NEW FASHION 224 GY- 383,1,"1,350.00","2,399.00",5,19022023
61,NEW FASHION,1000401,NEW FASHION 227 TN - 408,1,"1,450.00","2,499.00",5,19022023
62,NEW FASHION,1000402,NEW FASHION 227 MR - 409,1,"1,450.00","2,499.00",5,19022023
64,NEW FASHION,1000405,NEW FASHION 3521 BG - 415,1,"1,400.00","2,499.00",5,19022023
65,NEW FASHION,1000406,NEW FASHION 3521 BL - 416,1,"1,400.00","2,499.00",5,19022023
67,NEW FASHION,1000408,NEW FASHION 230 MR - 418,1,"1,450.00","2,499.00",5,19022023
68,NEW FASHION,1000409,NEW FASHION 4128 LB - 419,1,975.00,"1,799.00",5,19022023
73,NEW FASHION,1000423,NEW FASHION 3789 GY - 434,1,"1,950.00","3,399.00",5,19022023
74,NEW FASHION,1000424,NEW FASHION 3789 BL - 435,1,"1,950.00","3,399.00",5,19022023
75,NEW FASHION,1000426,NEW FASHION 3789 BR - 437,1,"1,950.00","3,399.00",5,19022023
76,NEW FASHION,1000428,NEW FASHION 5234MR 440,1,"1,750.00","2,999.00",5,19022023
80,NEW FASHION,1000437,NEW FASHION 3781GY 452,1,"1,950.00","3,399.00",5,19022023
81,NEW FASHION,1000443,NEW FASHION R017BL 459,1,"1,650.00","2,899.00",5,19022023
82,NEW FASHION,1000444,NEW FASHION 099GY 460,1,"1,900.00","3,399.00",5,19022023
83,NEW FASHION,1000445,NEW FASHION 224BL 461,1,"1,950.00","3,399.00",5,19022023
85,KAPPER KKY,1000449,VTREK 6058,1,"1,499.00","2,499.00",0,24102024
94,WAMIK KVC,1000481,KVC 33292 BR - 8-12,1,"1,440.00","2,299.00",0,21102024
103,WAMIK KVC,1000501,KVC 33022 BR - 7-10,1,990.00,"1,899.00",5,21022023
105,WAMIK KVC,1000503,KVC 8820 TN - 7-10,1,990.00,"1,899.00",5,21022023
108,WAMIK KVC,1000508,KVC 33292 BR - 7-10,1,"1,840.00","2,899.00",5,21022023
113,WAMIK KVC,1000514,KVC 33011 BR - 7-10,1,"1,040.00","2,899.00",5,21022023
114,WAMIK KVC,1000519,KVC 33266 TN - 7-10,1,"1,840.00","2,899.00",5,21022023
119,WAMIK KVC,1000530,KVC 33221 BR - 7-10,2,"1,840.00","2,899.00",5,21022023
120,KAPPER KKY,1000531,VTREK TN,1,"1,800.00","2,699.00",5,21022023
121,KAPPER KKY,1000532,VTREK BR,1,"1,700.00","2,699.00",5,21022023
122,KAPPER KKY,1000533,VTREK BL 6064,1,"1,700.00","2,699.00",5,21022023
126,STEPS AKURANA,1000560,MI CIASSOC PARTY SHOE-BL-L88,6,"2,250.00","3,599.00",3,22022023
128,WAMIK KVC,1000575,KVS LEDIES 1401 - BG BL,3,"1,540.00","2,599.00",0,24102024
130,WAMIK KVC,1000596,KVC SANDALS 11520BR-6-10,2,840.00,"1,900.00",0,24102024
131,WAMIK KVC,1000597,KVC SANDALS 6-10-11523RD BL,3,900.00,"1,900.00",0,24102024
132,WAMIK KVC,1000598,KVC SANDALS 6-10-11520BU GY,2,900.00,"1,900.00",0,24102024
133,WAMIK KVC,1000599,KVC SANDALS 6-10-11523 GY,5,900.00,"1,900.00",0,24102024
134,WAMIK KVC,1000600,KVC SANDALS 6-10-11523 GY OR,5,900.00,"1,900.00",3,27022023
135,WAMIK KVC,1000601,KVC SANDALS 6-10-11523 BU BL,5,900.00,"1,900.00",0,24102024
136,WAMIK KVC,1000602,KVC SANDALS 8-12-11523 BR,1,950.00,"2,000.00",0,24102024
137,WAMIK KVC,1000603,KVC SANDALS 8-12-11523 BL BG,9,950.00,"2,000.00",0,24102024
138,WAMIK KVC,1000604,KVC SANDALS 8-12-11523 BG BR,5,950.00,"2,000.00",3,27022023
139,WAMIK KVC,1000605,KVC SANDALS 8-12-11537 BG GR,5,950.00,"2,000.00",0,24102024
144,KKY - ROYAL,1000676,CHARM  BLACK COURT SHOE,2,"1,450.00","2,500.00",3,28022023
148,SIRIZ MAWANELLA,1000797,TWO TONE SOCKS - M,45,170.00,399.00,0,26102024
149,SILVER SHIELD - SOCKS,1000798,TWO TONE SOCKS - L,53,210.00,399.00,0,26102024
150,SILVER SHIELD - SOCKS,1000799,BLACK SOCKS - S,40,150.00,350.00,0,26102024
151,SILVER SHIELD - SOCKS,1000800,BLACK SOCKS - CM,4,150.00,350.00,0,26102024
155,SILVER SHIELD - SOCKS,1000810,NORMAL BLACK SOCKS - M,4,100.00,250.00,0,26102024
156,SILVER SHIELD - SOCKS,1000811,NORMAL BLACK SOCKS - L,3,100.00,250.00,0,26102024
157,SILVER SHIELD - SOCKS,1000812,NORMAL WHITE SOCKS - M,15,100.00,250.00,0,26102024
159,SILVER SHIELD - SOCKS,1000816,GIRLS FASHION SOCKS - 4-7,7,150.00,350.00,0,26102024
160,SILVER SHIELD - SOCKS,1000818,BAYA SOCKS PYAR - 0-3,2,200.00,450.00,0,26102024
161,SILVER SHIELD - SOCKS,1000819,N H Z CHILDREN SOCKS -4-8,7,150.00,300.00,0,26102024
162,SILVER SHIELD - SOCKS,1000821,GIRLS FASHION SOCKS -W T -16-18,14,125.00,350.00,0,26102024
163,SILVER SHIELD - SOCKS,1000822,GIRLS FASHION SOCKS -W T -14-16,19,150.00,350.00,0,26102024
164,SILVER SHIELD - SOCKS,1000823,GIRLS FASHION SOCKS -M T 14-16,12,150.00,350.00,0,26102024
165,SILVER SHIELD - SOCKS,1000824,GIRLS FASHION SOCKS -M T 18-16,10,150.00,350.00,0,26102024
167,ALI AKBAR,1000917,PARCILON PAINITE - 50ML,1,"2,810.50","3,850.00",1,13032023
168,ALI AKBAR,1000919,PARCILON ODYSSEY - 50ML,1,"2,810.50","3,850.00",1,13032023
171,NEW FASHION,1000938,NEW FASHION 099BR - 464,1,"1,850.00","3,400.00",2,22032023
172,NEW FASHION,1000939,NEW FASHION 099BU - 465,1,"1,850.00","3,400.00",2,22032023
173,NEW FASHION,1000940,NEW FASHION 099GY - 466,1,"1,850.00","3,400.00",2,22032023
174,NEW FASHION,1000941,NEW FASHION 099MR - 467,1,"1,850.00","3,400.00",2,22032023
175,NEW FASHION,1000942,NEW FASHION 1733BL - 468,1,"1,750.00","3,300.00",2,22032023
176,NEW FASHION,1000943,NEW FASHION 4124BL - 469,1,"1,650.00","3,200.00",2,22032023
177,NEW FASHION,1000944,NEW FASHION 4124BU - 470,1,"1,650.00","3,200.00",2,22032023
178,NEW FASHION,1000945,NEW FASHION D72 GD - 471,1,"2,300.00","3,900.00",2,22032023
180,NEW FASHION,1000948,NEW FASHION 1753 BL - 474,1,"1,650.00","3,200.00",4,22032023
181,NEW FASHION,1000949,NEW FASHION 1753 BU - 475,1,"1,650.00","3,200.00",2,22032023
182,KAPPER KKY,1000950,NEW FASHION LH 18 - 476,1,"1,900.00","3,500.00",2,22032023
183,NEW FASHION,1000953,NEW FASHION 4132 BL - 479,1,"1,650.00","3,200.00",2,22032023
184,NEW FASHION,1000955,NEW FASHION 4132 BU - 481,1,"1,650.00","3,200.00",2,22032023
185,NEW FASHION,1000957,NEW FASHION 5233BL - 483,1,"1,700.00","3,300.00",2,22032023
186,NEW FASHION,1000959,NEW FASHION 5233PK - 485,1,"1,700.00","3,300.00",2,22032023
187,NEW FASHION,1000960,NEW FASHION LH28 BR - 486,1,"1,900.00","3,450.00",2,22032023
188,NEW FASHION,1000961,NEW FASHION 431 MR - 487,1,"1,850.00","3,400.00",2,22032023
189,NEW FASHION,1000963,NEW FASHION D15 SIL - 489,1,"2,150.00","3,800.00",2,22032023
190,NEW FASHION,1000964,NEW FASHION 5235 BL - 490,1,"1,700.00","3,300.00",2,22032023
191,NEW FASHION,1000965,NEW FASHION 5235 BR - 491,1,"1,700.00","3,300.00",2,22032023
192,NEW FASHION,1000966,NEW FASHION 5235 GY - 492,1,"1,700.00","3,300.00",2,22032023
193,NEW FASHION,1000967,NEW FASHION 5235 TN - 493,1,"1,700.00","3,300.00",2,22032023
194,NEW FASHION,1000968,NEW FASHION 3902 BL - 494,1,"1,700.00","3,300.00",2,22032023
195,NEW FASHION,1000971,NEW FASHION 5237BG - 497,1,"1,700.00","3,300.00",2,22032023
196,NEW FASHION,1000972,NEW FASHION 5237BL - 498,1,"1,700.00","3,300.00",2,22032023
197,NEW FASHION,1000973,NEW FASHION 5237BR - 499,1,"1,700.00","3,300.00",2,220232023
198,NEW FASHION,1000974,NEW FASHION 3798 BG - 500,1,"1,900.00","3,450.00",2,22032023
199,NEW FASHION,1000975,NEW FASHION 3798 BR - 501,1,"1,900.00","3,450.00",2,22032023
200,NEW FASHION,1000976,NEW FASHION 3798 BU - 502,1,"1,900.00","3,450.00",2,22032023
201,NEW FASHION,1000977,NEW FASHION 3798 PK - 503,1,"1,900.00","3,450.00",2,22032023
202,NEW FASHION,1000978,NEW FASHION 3798 TN - 504,1,"1,900.00","3,450.00",2,22032023
203,NEW FASHION,1000981,NEW FASHION 437 BG - 507,1,"1,850.00","3,400.00",2,22032023
204,NEW FASHION,1000982,NEW FASHION 437 BL - 508,1,"1,850.00","3,400.00",2,22032023
205,NEW FASHION,1000983,NEW FASHION 437 BR - 509,1,"1,850.00","3,400.00",2,22032023
206,NEW FASHION,1000984,NEW FASHION 437 BU - 510,1,"1,850.00","3,400.00",2,22032023
207,NEW FASHION,1000986,NEW FASHION 5238 BR - 512,1,"1,700.00","3,300.00",2,22032023
208,NEW FASHION,1000987,NEW FASHION 5238 GY - 513,1,"1,700.00","3,300.00",2,22032023
209,NEW FASHION,1000988,NEW FASHION 5238 TN - 514,1,"1,700.00","3,300.00",2,22032023
210,MINHATH,1001017,MUSIC SOHE KIDS 2 - PK,1,"1,575.00","2,850.00",2,26032023
211,MINHATH,1001020,MUSIC SOHE KIDS 5 - PK,1,"1,575.00","2,850.00",2,26032023
212,MINHATH,1001022,MUSIC SOHE KIDS 7 - PK,1,"1,575.00","2,850.00",2,26032023
213,MINHATH,1001023,MUSIC SOHE KIDS 8 - PU,1,"1,575.00","2,850.00",2,26032023
214,MINHATH,1001024,MUSIC SOHE KIDS 9 - TOY,1,"1,575.00","2,850.00",2,26032023
215,MINHATH,1001025,MUSIC SOHE KIDS 10 - AMCK,1,"1,575.00","2,850.00",2,26032023
216,MINHATH,1001027,MUSIC SOHE KIDS 12 - GD,1,"1,575.00","2,850.00",2,05042023
217,MY FRESH,1001044,MY FRESH LAVENDERA 150ML,1,247.00,290.00,1,29032023
218,MY FRESH,1001045,MY FRESH E . ROSE 150ML,1,247.00,290.00,1,29032023
219,BELT NANA CO,1001046,GENUINE LEATHER WALLET,1,"1,250.00","2,150.00",0,30032023
220,BELT NANA CO,1001047,GENUINE LEATHER WALLET,1,950.00,"1,950.00",0,30032023
221,BELT NANA CO,1001048,LOCK GENTS BELT,1,750.00,"1,400.00",2,30032023
223,SILVER SHIELD - SOCKS,1001119,CAMEL SOCKS ,2,220.00,499.00,0,26102024
224,SANFU TRADING KKY,1001151,SANFU BC791 -BL BU 8-13,1,"1,290.00","2,200.00",0,24102024
225,SANFU TRADING KKY,1001153,SANFU BC202 -BR BG 8-13,1,"1,290.00","2,200.00",2,02042023
226,SANFU TRADING KKY,1001155,SANFU BC202 -BL BU 8-13,1,"1,290.00","2,200.00",0,24102024
227,SANFU TRADING KKY,1001168,SANFU LFC 411 BR,3,"1,400.00","2,250.00",0,21102024
228,SANFU TRADING KKY,1001172,SANFU CD 809 TN TN,1,"1,690.00","2,600.00",2,02042023
230,SANFU TRADING KKY,1001175,SANFU CD 805 BL,2,"1,690.00","2,600.00",2,02042023
231,SANFU TRADING KKY,1001176,SANFU CD 810 TN TN,1,"1,690.00","2,600.00",2,02042023
233,SANFU TRADING KKY,1001178,SANFU CD 810 BR MR,1,"1,690.00","2,600.00",0,02042023
234,SANFU TRADING KKY,1001180,SANFU CD 785 BR BR,1,"1,690.00","2,600.00",2,02042023
235,NEW FASHION,1001191,NEW FASHION 3520 MR - 405,1,"1,950.00","2,399.00",1,04042023
236,WAMIK KVC,1001238,KVC  55801 BL -8-15,3,"1,440.00","2,300.00",0,24102024
237,WAMIK KVC,1001239,KVC  55801 BR - 13,1,"1,440.00","2,300.00",0,24102024
239,WAMIK KVC,1001274,KVC  22624 BR BR - 11,1,"2,040.00","3,400.00",1,10042023
240,WAMIK KVC,1001281,KVC  33057 BR BR - 7-10,1,"1,840.00","2,900.00",2,10042023
241,WAMIK KVC,1001282,KVC  33221 BL - 7-10,1,"1,840.00","2,900.00",2,10042023
242,WAMIK KVC,1001285,KVC  55995 TN - 7-10,1,"1,840.00","2,900.00",1,10042023
244,WAMIK KVC,1001287,KVC  33015 TN - 7-10,2,"1,840.00","2,900.00",2,10042023
245,WAMIK KVC,1001289,KVC  33649 BL - 7-10,1,"1,840.00","2,900.00",1,10042023
246,WAMIK KVC,1001290,KVC  22649 BR - 7-10,1,"1,840.00","2,900.00",1,10042023
247,SILVER SHIELD - SOCKS,1001292,NIKE SPORT HALF SOCKS ,21,350.00,599.00,0,26102024
248,SILVER SHIELD - SOCKS,1001293,NIKE SPORT FEET SOCKS ,25,350.00,599.00,0,26102024
249,SILVER SHIELD - SOCKS,1001294,GIRLS FASHION SOCKS - 4-7,14,300.00,499.00,0,26102024
250,RS RILWAN,1001306,CHILDREN COURT SHOE - PK,1,"1,400.00","2,900.00",2,15042023
251,RS RILWAN,1001307,CHILDREN COURT SHOE - GD,1,"1,400.00","2,900.00",2,15042023
252,IRSHAD,1001313,LADIES WALLETS -32,2,800.00,"1,749.00",1,17042023
253,IRSHAD,1001405,BACK BAG INDIA,5,"2,150.00","3,999.00",1,26042023
254,KAPPER KKY,1001420,ATTA CHAPPAL 1-6,4,850.00,"1,699.00",0,21102024
255,MA CADHER EARUR SHOE,1001431,OFFICIAL SHOE - 1010 BL,32,"2,100.00","3,750.00",0,10052023
256,MA CADHER EARUR SHOE,1001432,OFFICIAL SHOE - 1020 BL,2,"2,250.00","3,750.00",0,10052023
257,MA CADHER EARUR SHOE,1001433,OFFICIAL SHOE - 1030 BL,2,"2,250.00","3,750.00",1,10052023
258,MA CADHER EARUR SHOE,1001434,OFFICIAL SHOE - 1040 BL,3,"2,250.00","3,750.00",1,10052023
259,MA CADHER EARUR SHOE,1001435,OFFICIAL SHOE - PM - BL,2,"2,250.00","3,750.00",0,10052023
260,IRSHAD,1001450,GOLD LADIES WALLETS,2,"1,150.00","2,399.00",1,14052023
261,MA CADHER EARUR SHOE,1001453,WESTERN BOYS SHOE - BL,8,"1,750.00","3,250.00",1,16052023
262,SATHATH SIR,1001480,825004-02BLK 10,4,"1,250.00","2,199.00",0,22102024
263,MOHAMMED ASWAN - VV,1001489,LED FASHION SHOE - BL,1,"2,600.00","5,399.00",1,12062023
264,MOHAMMED ASWAN - VV,1001490,LED FASHION SHOE - WT,1,"2,600.00","5,399.00",1,12062023
265,MINHATH,1001515,WALKAROO  SOFT - GN,8,"1,500.00","2,499.00",0,21102024
266,MINHATH,1001518,WALKAROO 2335 - GN,6,"1,650.00","2,799.00",0,21102024
267,MINHATH,1001521,VKC EEZY LE 1305- PK,5,"1,650.00","2,799.00",0,21102024
268,RS RILWAN,1001537,BOYS GAMBOL TWO STEP - BR,2,775.00,"1,450.00",0,24102024
269,RS RILWAN,1001539,BOYS GAMBOL TWO STEP - BL,2,775.00,"1,450.00",0,24102024
270,RS RILWAN,1001544,LADIES CHAPPL FLOWER - PK,3,775.00,"1,499.00",0,24102024
271,RS RILWAN,1001555,MUSIC SHOE - 10 - BU,3,"1,950.00","3,499.00",1,21062023
272,RS RILWAN,1001556,MUSIC SHOE - 10 - GY,1,"1,950.00","3,499.00",0,24102024
273,RS RILWAN,1001561,BATMAN SANDALS 5-10 BU,1,"1,550.00","2,699.00",0,24102024
274,RS RILWAN,1001562,FILA SANDALS 5-10 RD,1,"1,550.00","2,699.00",0,24102024
275,KAPPER KKY,1001565,NIKE  CHAPPAL AIR MAX - WT,2,850.00,"1,699.00",0,24102024
276,EUERSOFT,1001574,EVERSOFT 12 SARI BATA - BU BU,2,"1,200.00","2,200.00",0,24102024
277,EUERSOFT,1001575,EVERSOFT 12 SARI BATA - BL BL,1,"1,200.00","2,200.00",0,24102024
278,INDIKA GALAGEDARA,1001600,ADIDAS SHOE INDIA - GN,1,"2,400.00","4,699.00",0,24102024
279,INDIKA GALAGEDARA,1001609,RUNNING NIKE SHOE INDIA - BL,1,"2,400.00","4,699.00",0,24102024
280,INDIKA GALAGEDARA,1001610,ARI GATO BOYS SHOE - BU,1,"2,400.00","4,899.00",0,21102024
282,INDIKA GALAGEDARA,1001611,ARI GATO BOYS SHOE - GY,1,"2,400.00","4,699.00",0,24102024
283,INDIKA GALAGEDARA,1001613,ARI GATO BOYS SHOE - L BU,1,"2,400.00","4,699.00",0,24102024
284,RS RILWAN,1001622,BACK BAG - L,3,"1,450.00","2,499.00",0,08092023
285,MA CADHER EARUR SHOE,1001623,CHINESE KIDS SHOE - BL,1,"1,700.00","2,999.00",0,24102024
286,MA CADHER EARUR SHOE,1001624,CHINESE KIDS SHOE - BU,2,"1,700.00","2,999.00",0,24102024
287,MA CADHER EARUR SHOE,1001625,CHINESE KIDS SHOE - GY,1,"1,700.00","2,999.00",0,24102024
288,WAMIK KVC,1001627,KVC 11029 BL - 7-10,2,"1,660.00","2,699.00",0,24102024
289,MAINSOR VKC,1001629, SCHOOL BAG - COLOMBIA,3,"2,000.00","3,899.00",2,14092023
290,MAINSOR VKC,1001630," SCHOOL BAG - C,EST",2,"1,850.00","3,899.00",2,14092023
291,MAINSOR VKC,1001631, SCHOOL BAG - GIVENCHY,2,"1,900.00","3,899.00",0,14092023
292,MAINSOR VKC,1001632, SCHOOL BAG - DIRUL,2,"1,900.00","3,899.00",0,14092023
293,MAINSOR VKC,1001633, SCHOOL BAG - CREEPER,4,"1,900.00","3,899.00",0,14092023
294,MA CADHER EARUR SHOE,1001635,OFFICIAL SHOE - PC - BL,3,"2,100.00","3,750.00",0,03102023
295,SILVER SHIELD - SOCKS,1001640,BOY SOCKS 3-7,6,250.00,449.00,0,26102024
296,SILVER SHIELD - SOCKS,1001641,BOY SOCKS 1-4,10,250.00,449.00,0,26102024
297,SILVER SHIELD - SOCKS,1001642,GIRL LACE SOCKS 18-20,9,280.00,499.00,0,26102024
298,SILVER SHIELD - SOCKS,1001643,GIRL LACE SOCKS 16-18,17,280.00,499.00,0,26102024
299,SILVER SHIELD - SOCKS,1001652,SPORTS WHITE SOCKS,4,170.00,499.00,0,26102024
300,SILVER SHIELD - SOCKS,1001653,DOUDI RABBIT BABY SOCKS,5,270.00,599.00,0,26102024
301,SILVER SHIELD - SOCKS,1001654,BAYA SOCKS PYAR ,2,350.00,699.00,0,26102024
302,SILVER SHIELD - SOCKS,1001655,BAYA SOCKS,3,170.00,350.00,0,26102024
303,KAPPER KKY,1001679,NIKE CHAPPAL - WT,1,"1,300.00","2,199.00",0,24102024
304,NEW FASHION,1001690,LEVOZI F 71 - BG - 515,1,"2,250.00","4,599.00",1,03112023
305,NEW FASHION,1001691,LEVOZI F 71 - BR - 516,1,"2,250.00","4,599.00",1,03112023
306,NEW FASHION,1001692,LEVOZI F 71 - GY - 517,1,"2,250.00","4,599.00",1,03112023
307,NEW FASHION,1001694,LEVOZI F 71 - PK - 519,1,"2,250.00","4,599.00",1,03112023
308,NEW FASHION,1001695,LEVOZI F 72 - BL - 520,1,"2,250.00","4,599.00",1,03112023
309,NEW FASHION,1001696,LEVOZI F 72 - BR - 521,1,"2,250.00","4,599.00",1,03112023
310,NEW FASHION,1001697,LEVOZI F 73 - BG - 522,1,"2,250.00","4,599.00",1,03112023
311,NEW FASHION,1001698,LEVOZI F 73 - BL - 523,1,"2,250.00","4,599.00",1,03112023
312,NEW FASHION,1001699,LEVOZI F 73 - BR - 524,1,"2,250.00","4,599.00",1,03112023
313,NEW FASHION,1001701,LEVOZI F 73 - MR- 526,1,"2,250.00","4,599.00",1,03112023
314,NEW FASHION,1001702,LEVOZI F 73 - PK- 527,1,"2,250.00","4,599.00",1,03112023
315,NEW FASHION,1001703,LEVOZI F 74 - BG- 528,1,"2,250.00","4,599.00",1,03112023
317,NEW FASHION,1001707,LEVOZI F 74 - MR- 532,1,"2,250.00","4,599.00",1,03112023
318,NEW FASHION,1001708,LEVOZI F 74 - PK- 533,1,"2,250.00","4,599.00",1,03112023
319,NEW FASHION,1001709,LEVOZI F 74 - BU- 534,1,"2,250.00","4,599.00",1,03112023
320,NEW FASHION,1001711,LEVOZI F 75 - BL- 536,1,"2,250.00","4,599.00",1,03112023
321,NEW FASHION,1001712,LEVOZI F 75 - BU- 537,1,"2,250.00","4,599.00",1,03112023
323,NEW FASHION,1001714,LEVOZI F 75 - MR- 539,1,"2,250.00","4,599.00",1,03112023
324,NEW FASHION,1001715,LEVOZI F 75 - PK- 540,1,"2,250.00","4,599.00",1,03112023
325,NEW FASHION,1001717,LEVOZI A 01 - BL - 542,1,"2,850.00","4,899.00",1,04112023
326,NEW FASHION,1001718,LEVOZI A 01 - BR - 543,1,"2,850.00","4,899.00",1,04112023
327,NEW FASHION,1001719,LEVOZI A 01 - BU - 544,1,"2,850.00","4,899.00",1,04112023
328,NEW FASHION,1001720,LEVOZI A 01 - TN - 545,1,"2,850.00","4,899.00",1,04112023
329,NEW FASHION,1001721,LEVOZI A 02 - BL - 546,1,"2,850.00","4,899.00",1,04112023
330,NEW FASHION,1001722,LEVOZI A 03 - BL - 547,1,"2,850.00","4,899.00",1,04112023
331,NEW FASHION,1001724,LEVOZI A 03 - BU - 549,1,"2,850.00","4,899.00",1,04112023
332,NEW FASHION,1001726,LEVOZI A 04 - BL - 551,1,"2,850.00","4,899.00",1,04112023
333,NEW FASHION,1001727,LEVOZI A 04 - BR - 552,1,"2,850.00","4,899.00",1,04112023
335,NEW FASHION,1001730,LEVOZI A 06 - BG - 555,1,"2,850.00","4,899.00",1,04112023
336,NEW FASHION,1001731,LEVOZI A 06 - BR - 556,1,"2,850.00","4,899.00",1,04112023
337,NEW FASHION,1001732,LEVOZI A 06 - TN - 557,1,"2,850.00","4,899.00",1,04112023
338,NEW FASHION,1001733,LEVOZI A 07 - BG - 558,1,"2,850.00","4,899.00",1,04112023
339,NEW FASHION,1001734,LEVOZI A 07 - BL - 559,1,"2,850.00","4,899.00",1,04112023
340,NEW FASHION,1001735,LEVOZI A 07 - TN - 560,1,"2,850.00","4,899.00",1,04112023
341,NEW FASHION,1001736,LEVOZI A 08 - BL - 561,1,"2,850.00","4,899.00",1,04112023
342,NEW FASHION,1001737,LEVOZI A 08 - BR - 562,1,"2,850.00","4,899.00",1,04112023
343,NEW FASHION,1001739,LEVOZI A 09 - BR - 564,1,"2,850.00","4,899.00",1,04112023
344,NEW FASHION,1001740,LEVOZI A 09 - OWT - 565,1,"2,850.00","4,899.00",1,04112023
345,NEW FASHION,1001741,LEVOZI A 09 - TN - 566,1,"2,850.00","4,899.00",1,04112023
346,NEW FASHION,1001742,LEVOZI A 10 - BL - 567,1,"2,850.00","4,899.00",1,04112023
347,RS RILWAN,1001753,PRO FESSIONAL BAG,3,"1,500.00","2,399.00",0,15112023
348,RS RILWAN,1001754,SCHOOL BAG - S,16,"1,550.00","2,599.00",0,15112023
349,RS RILWAN,1001755,SIDE BAG - NEW,4,"1,150.00","1,999.00",1,15112023
350,SATHATH SIR,1001769,836518-02BLK,1,"1,150.00","2,299.00",0,24102024
351,SATHATH SIR,1001770,836014-02BLK,1,"1,300.00","2,399.00",0,24102024
352,SATHATH SIR,1001776,8255001-02BLU- M,2,"1,000.00","1,999.00",0,24102024
353,SATHATH SIR,1001778,8255001-02BLU- XL,2,"1,200.00","2,199.00",0,24102024
354,SATHATH SIR,1001779,8255002-02BLU- XL,2,"1,200.00","2,199.00",0,24102024
356,SATHATH SIR,1001783,8255002-02BLU- M,2,"1,000.00","1,999.00",0,24102024
357,SATHATH SIR,1001784,8255002-02MRN- M,2,"1,000.00","1,999.00",0,24102024
359,SATHATH SIR,1001786,8255002-02BLU- S,2,900.00,"1,999.00",0,24102024
360,LIBERTY SHOE - KANDY,1001787,GENTS CHAPPAL 1867,1,990.00,"2,199.00",0,24102024
361,LIBERTY SHOE - KANDY,1001790,GENTS CHAPPAL M2S 21770,9,975.00,"2,199.00",0,24102024
362,LIBERTY SHOE - KANDY,1001791,GENTS CHAPPAL  21770,12,990.00,"2,199.00",0,24102024
363,RS RILWAN,1001798,TOMMY FINGER SLEEPER - BL,1,975.00,"1,899.00",1,05122023
364,RS RILWAN,1001799,TOMMY FINGER SLEEPER - BU,1,975.00,"1,899.00",1,05122023
365,RS RILWAN,1001800,TOMMY FINGER SLEEPER - BR,1,975.00,"1,899.00",1,05122023
366,RS RILWAN,1001801,TOMMY FINGER SLEEPER - TN,1,975.00,"1,899.00",1,05122023
367,SILVER SHIELD - SOCKS,1001810, MENS SOCKS,4,300.00,599.00,0,26102024
368,SILVER SHIELD - SOCKS,1001811,CLASSIC MENS SOCKS,2,300.00,599.00,0,26102024
369,SILVER SHIELD - SOCKS,1001812, MEN S FASHION  SOCKS,17,300.00,599.00,0,26102024
370,SILVER SHIELD - SOCKS,1001813,FASHION GIRLC COCKS  - 8-10,12,350.00,549.00,0,26102024
371,ASMATHUIIA,1001818,ABAYA SHOE APTUS- BY RS,4,"2,450.00","4,499.00",1,19122023
372,ASMATHUIIA,1001821,RUN FAST DEATH SHOE - BU,1,"2,650.00","5,699.00",0,24102024
373,ASMATHUIIA,1001823,CANVAS SHOE PUMA - BL,2,"3,200.00","5,899.00",0,24102024
374,ASMATHUIIA,1001825,CANVAS SHOE TOMMY - BU,1,"3,200.00","5,699.00",0,24102024
375,ASMATHUIIA,1001827,CANVAS SHOE NIKE - GY-BU,1,"3,200.00","5,899.00",0,24102024
376,ASMATHUIIA,1001829,CANVAS SHOE NIKE - RD-BU,1,"3,200.00","5,899.00",0,24102024
377,ASMATHUIIA,1001830,NIKE GOLD DEATH SHOE,1,"2,650.00","5,699.00",0,24102024
378,ASMATHUIIA,1001833,DEATH SHOE - GN,1,"2,650.00","5,699.00",0,24102024
379,MA CADHER EARUR SHOE,1001838,WESTERN BOYS SHOE - BL,18,"1,750.00","3,299.00",0,24122023
380,SATHATH SIR,1001840,836518-02BRO,1,"1,200.00","2,299.00",0,24102024
381,SATHATH SIR,1001841,836518-02TAN,1,"1,200.00","2,299.00",0,24102024
382,SATHATH SIR,1001843,826000-02BLU,1,"1,250.00","2,299.00",0,24102024
383,MAINSOR VKC,1001844,BOYS PARTY SHOE - AC-BL,7,"1,300.00","2,699.00",0,25122023
384,SATHATH SIR,1001846,846504-02RED,1,"1,250.00","2,299.00",0,24102024
385,SATHATH SIR,1001853,826508-02TAN,1,"1,150.00","1,999.00",0,24102024
386,SATHATH SIR,1001854,856512-02GRY,1,"1,020.00","1,999.00",0,24102024
387,SATHATH SIR,1001855,856512-02PNK,1,"1,020.00","1,999.00",0,24102024
388,SATHATH SIR,1001856,826507-02MRN,1,"1,170.00","2,199.00",0,24102024
