No,supplier,barcode,name,quantity,cost,price,alert_quantity,batch_number
533,ASMATHUIIA,1002168,ABACA INDYN -A 004 -  BL,1,"2,450.00","3,499.00",1,11032024
534,ASMATHUIIA,1002169,ABACA INDYN -A 004 -  BR,1,"2,450.00","3,499.00",1,11032024
535,ASMATHUIIA,1002170,ABACA INDYN -A 004 -  PK,1,"2,450.00","3,499.00",1,11032024
536,ASMATHUIIA,1002172,CYBERLADY  SANDALS INDYN -1097 BU,1,"2,400.00","3,399.00",0,25102024
537,ASMATHUIIA,1002173,CYBERLADY  SANDALS INDYN -1076 GN,1,"2,400.00","3,399.00",0,25102024
538,ASMATHUIIA,1002174,CYBERLADY  SANDALS INDYN -1239 PK,1,"2,400.00","3,399.00",1,12032024
539,ASMATHUIIA,1002175,ABACA SANDALS INDYN -A-179 BL PK,1,"2,450.00","3,499.00",1,12032024
540,ASMATHUIIA,1002176,ABACA SANDALS INDYN -A-179 BL BU,1,"2,450.00","3,499.00",1,12032024
541,ASMATHUIIA,1002177,ABACA SANDALS INDYN -A-224 BR,1,"2,550.00","3,499.00",1,12032024
542,ASMATHUIIA,1002178,ABACA SANDALS INDYN -A-304 L BU,1,"2,550.00","3,499.00",1,12032024
543,ASMATHUIIA,1002179,CYBERLADY INDYN -1202 GD,1,"2,600.00","3,699.00",1,12032024
544,ASMATHUIIA,1002180,CYBERLADY INDYN -1042 GD,1,"2,600.00","3,699.00",1,12032024
545,ASMATHUIIA,1002181,ABACA GENTS SOFT INDYN -A 5009 - BL,2,"2,550.00","3,699.00",1,12032024
546,ASMATHUIIA,1002182,ABACA GENTS SOFT INDYN -A 5025- BL TN,1,"2,550.00","3,699.00",1,12032024
547,SILVER SHIELD - SOCKS,1002186,BABY SHOE - RD,3,"1,550.00","2,499.00",0,24102024
550,SILVER SHIELD - SOCKS,1002189,BABY SHOE -  SOCKS,3,950.00,"1,699.00",0,26102024
551,SILVER SHIELD - SOCKS,1002190,GIRL S FASHION SOCKS -O-1,12,250.00,499.00,1,13032024
552,SILVER SHIELD - SOCKS,1002191,GIRL S FASHION SOCKS -2-5,12,250.00,499.00,1,13032024
554,ANSEL NIZAMDEEN KKY,1002196,VKC GENTS TWO STEP 3325 -11-12 BL,3,"1,761.75","2,599.00",0,13032024
555,ANSEL NIZAMDEEN KKY,1002197,VKC GENTS TWO STEP 3325 -11-12 BR,3,"1,761.75","2,599.00",0,13032024
557,ANSEL NIZAMDEEN KKY,1002212,VKC GENTS COVER TYPE 4357- BL,1,"1,797.25","2,599.00",0,25102024
559,ANSEL NIZAMDEEN KKY,1002223,VKC LEDIES TWO STEP 475 BU,1,"1,574.25","2,399.00",0,25102024
